23.259,22.361,21.471,20.591,19.698,18.788,17.889,17,16.125,15.264,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.4031,5.6569,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16.553,17,17.493,18.028
22.825,21.932,21.024,20.125,19.235,18.358,17.464,16.553,15.652,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.2426,3.6056,2.8284,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14.866,15.232,15.652,16.125,16.643,17.205
22.361,21.471,20.591,19.698,18.788,17.889,17,16.125,15.232,14.318,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05,11.045,12.042,13.038,13.601,13.928,14.318,14.765,15.264,15.811,16.401
21.932,21.024,20.125,19.235,18.358,17.464,16.553,15.652,14.765,13.892,13,12.083,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,9.2195,10.198,11.18,12.166,12.369,12.649,13,13.416,13.892,14.422,15,15.62
21.401,20.591,19.698,18.788,17.889,17,16.125,15.232,14.318,13.416,12.53,11.662,10.77,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.544,9.4868,10.44,11.045,11.18,11.402,11.705,12.083,12.53,13.038,13.601,14.213,14.866
20.809,20,19.209,18.358,17.464,16.553,15.652,14.765,13.892,13,12.083,11.18,10.296,9.434,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443,9.8489,10,10.05,10.198,10.44,10.77,11.18,11.662,12.207,12.806,13.454,14.142
20.248,19.416,18.601,17.804,17,16.125,15.232,14.318,13.416,12.53,11.662,10.77,9.8489,8.9443,8.0623,7.2111,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.2195,9.0554,9,9.0554,9.2195,9.4868,9.8489,10.296,10.817,11.402,12.042,12.728,13.454
19.723,18.868,18.028,17.205,16.401,15.62,14.765,13.892,13,12.083,11.18,10.296,9.434,8.544,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.544,8.2462,8.0623,8,8.0623,8.2462,8.544,8.9443,9.434,10,10.63,11.314,12.042,12.806
19.209,18.358,17.493,16.643,15.811,15,14.213,13.416,12.53,11.662,10.77,9.8489,8.9443,8.0623,7.2111,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.0623,7.6158,7.2801,7.0711,7,7.0711,7.2801,7.6158,8.0623,8.6023,9.2195,9.8995,10.63,11.402,12.207
18.601,17.804,17,16.125,15.264,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.544,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,7.8102,7.2111,6.7082,6.3246,6.0828,6,6.0828,6.3246,6.7082,7.2111,7.8102,8.4853,9.2195,10,10.817,11.662
18.028,17.205,16.401,15.62,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,2.8284,3.6056,4.2426,5,5.6569,6.4031,7.2111,7.8102,7.0711,6.4031,5.831,5.3852,5.099,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,9.434,10.296,11.18
17.493,16.643,15.811,15,14.213,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.0711,7.8102,7.2111,6.4031,5.6569,5,4.4721,4.1231,4,4.1231,4.4721,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.77
16.971,16.125,15.264,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.4868,10.44
16.279,15.556,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,2,3,4,5,5.831,6.7082,7.6158,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,9.2195,10.198
15.556,14.866,14.142,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05
14.866,14.142,13.454,12.728,12.042,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
14.213,13.454,12.728,12.042,11.314,10.63,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.544,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
13.601,12.806,12.042,11.314,10.63,9.8995,9.2195,8.4853,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05
13.038,12.207,11.402,10.63,9.8995,9.2195,8.4853,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
12.53,11.662,10.817,10,9.2195,8.4853,7.8102,7.0711,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
12.083,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.4031,5.6569,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
11.705,10.77,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8,8,8,8,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
11.402,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7,7,7,7,7,7,7.0711,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
11.18,10.198,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,0,1,2,2.8284,3.6056,4.4721,5.3852,6,6,6,6,6,6,6,6,6.0828,6,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
10.77,9.8489,8.9443,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0,0,1,1.4142,2.2361,3.1623,4.1231,5,5.099,5,5,5,5,5,5,5,5,5.099,5,5,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4,3,2,1,0,0,1,1.4142,2.2361,2.8284,3.6056,4.1231,4,4.1231,4,4,4,4,4,4,4,4,4.1231,4,4,4,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
10.198,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3,3,3.1623,3,3.1623,3,3,3,3,3,3,3,3,3.1623,3,3,3,3,3,2,1,0,1,2,3,4,5,6,7,8,9,10
10.05,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0,1,2,2,2.2361,2,2,2.2361,2,2.2361,2,2,2,2,2,2,2,2,2.2361,2,2,2,2,2,2,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05
10,9,8,7,6,5,4,3,2,1,0,1,1,1.4142,1,1.4142,1,1,1.4142,1,1.4142,1,1,1,1,1,1,1,1,1.4142,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10
10,9,8,7,6,5,4,3,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10
10.05,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1,1,1.4142,1,1.4142,1,1,1.4142,1,1.4142,1,1,1,1,1,1,1,1,1.4142,1,1,1,1,1,1,1,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05
