4,4.1231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6056,2.8284,2.2361,1.4142,1,1,0,0,1,1.4142,2.2361
5,5.099,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,0,1,1,1,1.4142,2.2361,2.8284
6,6.0828,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,1.4142,2,2,2.2361,2.8284,3.6056
7,7.0711,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,2.8284,3,3.1623,3.6056,4.2426
8,8.0623,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.8102,7.0711,6.4031,5.6569,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4,4.1231,4.4721,5
9,9.0554,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.6023,7.8102,7.0711,6.4031,5.6569,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,1,1.4142,2.2361,2.8284,3.6056,4.2426,5,5.099,5.3852,5.831
10,10.05,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.6569,6.0828,6.3246,6.7082
11,11.045,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.0711,7.2801,7.6158
12,12.042,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11.18,10.198,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.2462,8.544
13,13.038,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12.042,11.045,10.05,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.4853,9.2195,9.4868
14,14.036,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.2426,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.44
15,15.033,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.036,13.038,12.042,11.045,10.05,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,2.8284,3.6056,4.2426,5,5.6569,6.4031,7.0711,7.8102,8.6023,9.434,10.296,11.18
16,16.031,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15.133,14.142,13.153,12.166,11.18,10.198,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.2426,5,5.6569,6.4031,7.0711,7.8102,8.4853,9.2195,10,10.817,11.662
17,17.029,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16.279,15.297,14.318,13.342,12.369,11.402,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.6569,6.4031,7.0711,7.8102,8.4853,9.2195,9.8995,10.63,11.402,12.207
18,18.028,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17.464,16.492,15.524,14.56,13.601,12.649,11.705,10.77,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.4721,4.1231,4,4.1231,4.4721,5,5.6569,6.4031,7.0711,7.8102,8.4853,9.2195,9.8995,10.63,11.314,12.042,12.806
19,19.026,19,19,19,19,19,19,19,19,19,19,19,19,19,18.682,17.72,16.763,15.811,14.866,13.928,13,12.083,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.4031,5.831,5.3852,5.099,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.4853,9.2195,9.8995,10.63,11.314,12.042,12.728,13.454
20,20.025,20,20,20,20,20,20,20,20,20,20,20,20,19.925,18.974,18.028,17.088,16.155,15.232,14.318,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.8102,7.2111,6.7082,6.3246,6.0828,6,6.0828,6.3246,6.7082,7.2111,7.8102,8.4853,9.2195,9.8995,10.63,11.314,12.042,12.728,13.454,14.142
21,21.024,21,21,21,21,21,21,21,21,21,21,21,21,20.248,19.313,18.385,17.464,16.553,15.652,14.765,13.892,13.038,12.207,11.402,10.63,9.8995,9.2195,8.6023,8.0623,7.6158,7.2801,7.0711,7,7.0711,7.2801,7.6158,8.0623,8.6023,9.2195,9.8995,10.63,11.314,12.042,12.728,13.454,14.142,14.866
22,22.023,22,22,22,22,22,22,22,22,22,22,22,21.541,20.616,19.698,18.788,17.889,17,16.125,15.264,14.422,13.601,12.806,12.042,11.314,10.63,10,9.434,8.9443,8.544,8.2462,8.0623,8,8.0623,8.2462,8.544,8.9443,9.434,10,10.63,11.314,12.042,12.728,13.454,14.142,14.866,15.556
23,23.022,23,23,23,23,23,23,23,23,23,23,22.847,21.932,21.024,20.125,19.235,18.358,17.493,16.643,15.811,15,14.213,13.454,12.728,12.042,11.402,10.817,10.296,9.8489,9.4868,9.2195,9.0554,9,9.0554,9.2195,9.4868,9.8489,10.296,10.817,11.402,12.042,12.728,13.454,14.142,14.866,15.556,16.279
24,24.021,24,24,24,24,24,24,24,24,24,24,23.259,22.361,21.471,20.591,19.723,18.868,18.028,17.205,16.401,15.62,14.866,14.142,13.454,12.806,12.207,11.662,11.18,10.77,10.44,10.198,10.05,10,10.05,10.198,10.44,10.77,11.18,11.662,12.207,12.806,13.454,14.142,14.866,15.556,16.279,16.971
25,25.02,25,25,25,25,25,25,25,25,25,24.597,23.707,22.825,21.954,21.095,20.248,19.416,18.601,17.804,17.029,16.279,15.556,14.866,14.213,13.601,13.038,12.53,12.083,11.705,11.402,11.18,11.045,11,11.045,11.18,11.402,11.705,12.083,12.53,13.038,13.601,14.213,14.866,15.556,16.279,16.971,17.692
