4.4721,5.3852,6.3246,7.2801,8.2462,9.2195,10.198,11.18,12.166,12.166,12.042,12,12,12.042,12.166,12.369,12.207,11.402,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,6,5,4,3,2,1,0,1,2,2.8284,3.6056
4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05,11.045,11.402,11.18,11.045,11,11,11.045,11.18,11.402,11.705,11.18,10.198,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,3.1623
4,5,6,7,8,9,10,10.77,10.44,10.198,10.05,10,10,10.05,10.198,10.44,10.77,11.045,10.05,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,3
4.1231,5.099,6.0828,7.0711,8.0623,9.0554,10.05,9.8489,9.4868,9.2195,9.0554,9,9,9.0554,9.2195,9.4868,9.8489,10.296,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623
4,5,6,7,8,8.9443,9.434,8.9443,8.544,8.2462,8.0623,8,8,8.0623,8.2462,8.544,8.9443,9.434,10,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,7,6,5,4,3,2,1,0,1,2,3
4.1231,5,5.831,6.7082,7.6158,8.544,8.6023,8.0623,7.6158,7.2801,7.0711,7,7,7.0711,7.2801,7.6158,8.0623,8.6023,9.2195,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623
3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,7.8102,7.2111,6.7082,6.3246,6.0828,6,6,6.0828,6.3246,6.7082,7.2111,7.8102,8.4853,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2,2.2361,2.8284
3.1623,4.1231,5,5.831,6.7082,7.0711,7.0711,6.4031,5.831,5.3852,5.099,5,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.544,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361
2.8284,3.6056,4.4721,5.3852,6,6.0828,6.3246,5.6569,5,4.4721,4.1231,4,4,4.1231,4.4721,5,5.6569,6.4031,7.2111,7.6158,7.2801,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8,7,6,5,4,3,2,1,0,1,2
2.2361,3.1623,4.1231,5,5,5.099,5.3852,5,4.2426,3.6056,3.1623,3,3,3.1623,3.6056,4.2426,5,5.831,6.4031,6.7082,6.3246,6.0828,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,3,4,5,6,7,8,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1,1.4142
2,2.8284,3.6056,4.1231,4,4.1231,4.4721,4.4721,3.6056,2.8284,2.2361,2,2,2.2361,2.8284,3.6056,4.4721,5,5.6569,5.831,5.3852,5.099,5,4.1231,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1
1.4142,2.2361,2.8284,3.1623,3,3.1623,3.6056,3.6056,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,3.6056,4.2426,5,5,4.4721,4.1231,4,3.6056,3,2,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1
1,1.4142,2.2361,2.2361,2,2.2361,2.8284,2.8284,2.2361,2,1,0,0,1,2,2.2361,2.8284,3.6056,4,4.1231,3.6056,3.1623,3,2.8284,2.2361,2,1.4142,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.544,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0
0,1,2,1.4142,1,1.4142,2.2361,2.2361,1.4142,1,1,0,1,1.4142,1,1.4142,2.2361,3.1623,3,3.1623,2.8284,2.2361,2,2.2361,1.4142,1,1.4142,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443,8,7,6,5,4,3,2,1,0,1
1,1.4142,1,1,0,1,2,1.4142,1,0,1,1,1.4142,1,0,1,2,2.2361,2,2.2361,2.2361,1.4142,1,1.4142,1,0,1,2,3,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142
2,1,0,1,1,1,1.4142,1,0,1,0,1,2,1.4142,1,1.4142,2.2361,1.4142,1,1.4142,2,1,0,1,1,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361
2.2361,1.4142,1,1.4142,1,0,1,1.4142,1,1.4142,1,1.4142,2.2361,2.2361,2,2.2361,2,1,0,1,2,1.4142,1,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9.434,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623
